"scientific","family","rec_gbif"
"Swartzia leptopetala Benth.","Fabaceae",9
"Swartzia vaupesiana R.S.Cowan","Fabaceae",9
"Entada polystachya (L.) DC.","Fabaceae",9
"Episcia Mart.","Gesneriaceae",9
"Malouetia peruviana Woodson","Apocynaceae",9
"Talisia eximia Kramer","Sapindaceae",9
"Tectaria incisa Cav.","Tectariaceae",9
"Terminalia grandis (Ducke) Gere & Boatwr.","Combretaceae",9
"Tetragastris Gaertn.","Burseraceae",9
"Macrolobium acaciaefolium (Benth.) Benth.","Fabaceae",9
"Macoubea sprucei (Müll.Arg.) Markgr.","Apocynaceae",9
"Tetrapterys styloptera A.Juss.","Malpighiaceae",9
"Anisophyllea guianensis Sandwith","Anisophylleaceae",9
"Mabea speciosa var. speciosa","Euphorbiaceae",9
"Eugenia lambertiana DC.","Myrtaceae",9
"Lygodium volubile Sw.","Lygodiaceae",9
"Lycopodiella cernua (L.) Pic.Serm.","Lycopodiaceae",9
"Lupinus mutabilis Sweet","Fabaceae",9
"Tococa caudata Markgr.","Melastomataceae",9
"Anaxagorea angustifolia Timmerman","Annonaceae",9
"Lindsaea stricta (Sw.) Dryand.","Lindsaeaceae",9
"Lindsaea schomburgkii Klotzsch","Lindsaeaceae",9
"Tonina fluviatilis Aubl.","Eriocaulaceae",9
"Tovomita krukovii A.C.Sm.","Clusiaceae",9
"Faramea multiflora A.Rich.","Rubiaceae",9
"Tovomita spruceana Planch. & Triana","Clusiaceae",9
"Licaria Aubl.","Lauraceae",9
"Trichilia pleeana (A.Juss.) C.DC.","Meliaceae",9
"Trichilia quadrijuga subsp. quadrijuga","Meliaceae",9
"Ficus eximia Schott","Moraceae",9
"Licania guianensis (Aubl.) Griseb.","Chrysobalanaceae",9
"Ficus lauretana Vázq.Avila","Moraceae",9
"Ficus obtusifolia Kunth","Moraceae",9
"Lepidopilum arcuatum Mitten, 1869","Daltoniaceae",9
"Trichomanes sprucei Baker","Hymenophyllaceae",9
"Lecythis pisonis Cambess.","Lecythidaceae",9
"Lagenocarpus verticillatus (Spreng.) T.Koyama & Maguire","Cyperaceae",9
"Ladenbergia lambertiana (A.Br. ex Mart.) Klotzsch","Rubiaceae",9
"Fridericia candicans (Rich.) L.G.Lohmann","Bignoniaceae",9
"Lacistema aggregatum Fawc. & Rendle","Lacistemataceae",9
"Kutchubaea sericantha Standl.","Rubiaceae",9
"Kutchubaea Fisch. ex DC.","Rubiaceae",9
"Klarobelia inundata Chatrou","Annonaceae",9
"Gaulettia racemosa (Benth. ex Hook.fil.) Sothers & Prance","Chrysobalanaceae",9
"Zamia ulei Dammer","Zamiaceae",9
"Itaya amicorum H.E.Moore","Arecaceae",9
"Heliconia marginata (Griggs) Pittier","Heliconiaceae",9
"Helicostylis Trécul","Moraceae",9
"Aegiphila smithii Moldenke","Lamiaceae",9
"Gnetum schwackeanum Taub. ex Markgr.","Gnetaceae",9
"Goeppertia enclitica (J.F.Macbr.) Borchs. & S.Suárez","Marantaceae",9
"Goeppertia fucata (H.Kenn.) Borchs. & S.Suárez","Marantaceae",9
"Himatanthus sucuuba (Spruce ex Müll.Arg.) Woodson","Apocynaceae",9
"Gurania eriantha (Poepp. & Endl.) Cogn.","Cucurbitaceae",9
"Chrysochlamys dependens Planch. & Triana","Clusiaceae",9
"Pouteria krukovii (A.C.Sm.) Baehni","Sapotaceae",9
"Pouteria cayennensis (A.DC.) Eyma","Sapotaceae",9
"Cinchonopsis amazonica (Standl.) L.Andersson","Rubiaceae",9
"Hyptis mutabilis (Rich.) Briq.","Lamiaceae",8
"Homolepis aturensis (Kunth) Chase","Poaceae",8
"Pourouma phaeotricha Mildbr.","Urticaceae",8
"Miconia tococaudata Michelang.","Melastomataceae",8
"Rudgea guianensis (A.Rich. ex DC.) Sandwith","Rubiaceae",8
"Endlicheria ruforamula Chanderb.","Lauraceae",8
"Zamia macrochiera D.W.Stev.","Zamiaceae",8
"Endlicheria sprucei (Meisn.) Mez","Lauraceae",8
"Adiantum cajennense Willd. ex Klotzsch","Pteridaceae",8
"Miconia tococapitata Michelang.","Melastomataceae",8
"Geonoma pycnostachys Mart.","Arecaceae",8
"Securidaca L.","Polygalaceae",8
"Licania longistyla (Hook.fil.) Fritsch","Chrysobalanaceae",8
"Amanoa guianensis Aubl.","Phyllanthaceae",8
"Abuta grisebachii Triana & Planch.","Menispermaceae",8
"Syngonanthus trichophyllus Moldenke","Eriocaulaceae",8
"Citrus ×limon (L.) Osbeck","Rutaceae",8
"Licania octandra (Hoffmanns. ex Roem. & Schult.) Kuntze","Chrysobalanaceae",8
"Syngonium podophyllum Schott","Araceae",8
"Licania octandra Pilg., 1923","Chrysobalanaceae",8
"Guarea fistulosa W.Palacios","Meliaceae",8
"Miconia tetrasperma Gleason","Melastomataceae",8
"Cayaponia oppositifolia Harms","Cucurbitaceae",8
"Ischnosiphon macarenae L.Andersson","Marantaceae",8
"Virola rufula (Mart. ex A.DC.) Warb.","Myristicaceae",8
"Licania urceolaris Hook.fil.","Chrysobalanaceae",8
"Palicourea vellerea (Müll.Arg.) C.M.Taylor","Rubiaceae",8
"Souroubea bicolor (Benth.) de Roon","Marcgraviaceae",8
"Xylopia parviflora Spruce","Annonaceae",8
"Guarea cristata T.D.Penn.","Meliaceae",8
"Guatteria foliosa Benth.","Annonaceae",8
"Vismia japurensis Rchb.fil.","Hypericaceae",8
"Aptandra tubicina (Poepp.) Benth. ex Miers","Aptandraceae",8
"Cremastosperma microcarpum R.E.Fr.","Annonaceae",8
"Palicourea venulosa (Müll.Arg.) Delprete & J.H.Kirkbr.","Rubiaceae",8
"Souroubea corallina (Mart.) de Roon","Marcgraviaceae",8
"Aciotis polystachya (Bonpl.) Triana","Melastomataceae",8
"Protium ferrugineum (Engl.) Engl.","Burseraceae",8
"Brownea negrensis Benth.","Fabaceae",8
"Licaria macrophylla (A.C.Sm.) Kosterm.","Lauraceae",8
"Miconia simpsonii (Wurdack) Michelang.","Melastomataceae",8
"Panicum rudgei Roem. & Schult.","Poaceae",8
"Faramea tamberlikiana Müll.Arg.","Rubiaceae",8
"Aeschynomene americana L.","Fabaceae",8
"Spathiphyllum cannifolium (Dryand. ex Sims) Schott","Araceae",8
"Lindernia crustacea (L.) F.Muell.","Linderniaceae",8
"Tabernaemontana Plum. ex L.","Apocynaceae",8
"Paradrymonia ciliosa (C.Mart.) Wiehler","Gesneriaceae",8
"Calyptranthes forsteri O.Berg","Myrtaceae",8
"Peperomia glabella (Sw.) A.Dietr.","Piperaceae",8
"Epistephium Kunth","Orchidaceae",8
"Anacardium parvifolium Ducke","Anacardiaceae",8
"Danaea leprieurii Kunze","Marattiaceae",8
"Tovomita brevistaminea Engl.","Clusiaceae",8
"Lindsaea phassa K.U.Kramer","Lindsaeaceae",8
"Caraipa grandifolia subsp. grandifolia","Calophyllaceae",8
"Parahancornia peruviana Monach.","Apocynaceae",8
"Rinorea multivenosa Hekking","Violaceae",8
"Loreya DC.","Melastomataceae",8
"Tococa capitata Trail ex Cogn.","Melastomataceae",8
"Tilesia baccata (L.) Pruski","Asteraceae",8
"Luma apiculata (DC.) Burret","Myrtaceae",8
"Solanum leucocarpon Dunal","Solanaceae",8
"Xylosma tessmannii Sleumer","Salicaceae",8
"Coussapoa viridifolia Cuatrec.","Urticaceae",8
"Catostemma commune Sandwith","Malvaceae",8
"Pseudolycopodiella contexta (C.Mart.) Holub","Lycopodiaceae",8
"Pseudoxandra cauliflora Maas","Annonaceae",8
"Parinari montana Aubl.","Chrysobalanaceae",8
"Vanilla appendiculata Rolfe","Orchidaceae",8
"Lycopodiella contexta (C.Mart.) Holub","Lycopodiaceae",8
"Piper augustum Rudge","Piperaceae",8
"Zamia cupatiensis Ducke","Zamiaceae",8
"Hyeronima alchorneoides Allemão","Phyllanthaceae",8
"Protium carolense Daly","Burseraceae",8
"Parinariopsis licaniiflora (Sagot) Sothers & Prance","Chrysobalanaceae",8
"Erisma uncinatum Warm.","Vochysiaceae",8
"Mandevilla nerioides Woodson","Apocynaceae",8
"Sphenoclea zeylanica Gaertn.","Sphenocleaceae",8
"Goeppertia comosa (L.f.) Borchs. & S.Suárez","Marantaceae",8
"Paullinia subnuda Radlk.","Sapindaceae",8
"Eugenia coffeifolia DC.","Myrtaceae",8
"Machaerium multifoliolatum Ducke","Fabaceae",8
"Inga leptocarpa T.D.Penn.","Fabaceae",8
"Pouteria gongrijpii Eyma","Sapotaceae",8
"Adelonema picturatum (Linden & André) S.Y.Wong & Croat","Araceae",8
"Byrsonima amoena Cuatrec.","Malpighiaceae",8
"Maieta guianensis var. leticiana Whiffin","Melastomataceae",8
"Ocellochloa stolonifera (Poir.) Zuloaga & Morrone","Poaceae",8
"Erythroxylum amazonicum Peyr.","Erythroxylaceae",8
"Annona edulis (Triana & Planch.) H.Rainer","Annonaceae",8
"Erythroxylum Browne","Erythroxylaceae",8
"Annona foetida Mart.","Annonaceae",8
"Ilex Tourn. ex L.","Aquifoliaceae",8
"Terminalia tetraphylla (Aubl.) Gere & Boatwr.","Combretaceae",8
"Couepia subcordata Benth. ex Hook.fil.","Chrysobalanaceae",8
"Terminalia macrophylla (Eichler) Gere & Boatwr.","Combretaceae",8
"Polybotrya polybotryoides (Baker) Christ","Dryopteridaceae",8
"Renealmia thyrsoidea subsp. thyrsoidea","Zingiberaceae",8
"Micropholis guyanensis subsp. duckeana (Baehni) T.D.Penn.","Sapotaceae",8
"Spondias L.","Anacardiaceae",8
"Monophyllanthe araracuarensis S.Suárez, Galeano & H.Kenn.","Marantaceae",8
"Solanum occultum Bohs","Solanaceae",8
"Notopleura (Hook.f.) Bremek.","Rubiaceae",8
"Ixora killipii Standl.","Rubiaceae",8
"Moutabea guianensis Aubl.","Polygalaceae",8
"Clusia loretensis Engl.","Clusiaceae",8
"Duguetia flagellaris Huber","Annonaceae",8
"Monotagma K.Schum.","Marantaceae",8
"Agouticarpa isernii (Standl.) C.H.Perss.","Rubiaceae",8
"Oenocarpus Mart.","Arecaceae",8
"Siparuna cuspidata (Tul.) A.DC.","Siparunaceae",8
"Oxandra asbeckii (Pulle) R.E.Fr.","Annonaceae",8
"Chelyocarpus ulei Dammer","Arecaceae",8
"Tynanthus panurensis (Bureau) Sandwith","Bignoniaceae",8
"Senefelderopsis chiribiquetensis (R.E.Schult. & Croizat) Steyerm.","Euphorbiaceae",8
"Psychotria acuminata Benth.","Rubiaceae",8
"Jacaranda obtusifolia Humb. & Bonpl.","Bignoniaceae",8
"Garcinia gardneriana (Planch. & Triana) Zappi","Clusiaceae",8
"Borojoa Cuatrec.","Rubiaceae",8
"Hirtella physophora Mart. & Zucc.","Chrysobalanaceae",8
"Sterculia peruviana (D.R.Simpson) E.L.Taylor ex Brako & Zarucchi","Malvaceae",8
"Dichaea Lindl.","Orchidaceae",8
"Cyathea microdonta (Desv.) Domin","Cyatheaceae",8
"Chenopodium quinoa Willd.","Amaranthaceae",8
"Inga sertulifera DC.","Fabaceae",8
"Caladium bicolor (Aiton) Vent.","Araceae",8
"Acalypha stachyura Pax","Euphorbiaceae",8
"Dicranella hilariana Mitten, 1869","Dicranaceae",8
"Selaginella lechleri Hieron.","Selaginellaceae",8
"Monotagma tuberosum Hagberg & R.Erikss.","Marantaceae",8
"Calathea capitata (Ruiz & Pav.) Lindl.","Marantaceae",8
"Duroia petiolaris Spruce ex K.Schum.","Rubiaceae",8
"Froesia crassiflora Pires & Fróes","Quiinaceae",8
"Hirtella americana L.","Chrysobalanaceae",8
"Vismia tomentosa Ruiz & Pav.","Hypericaceae",8
"Sacoglottis guianensis Benth.","Humiriaceae",8
"Phyllanthus acuminatus Vahl","Phyllanthaceae",8
"Guarea guidonia (L.) Sleumer","Meliaceae",8
"Buchenavia congesta Ducke","Combretaceae",8
"Aegiphila glabrata Moldenke","Lamiaceae",8
"Casearia commersoniana Cambess.","Salicaceae",8
"Phoradendron crassifolium (Pohl ex DC.) Eichler","Viscaceae",8
"Ladenbergia amazonensis Ducke","Rubiaceae",8
"Cupania livida (Radlk.) Croat","Sapindaceae",8
"Xyris esmeraldae Steyerm.","Xyridaceae",8
"Inga acicularis T.D.Penn.","Fabaceae",8
"Clidemia japurensis var. heterobasis (DC.) Wurdack","Melastomataceae",8
"Cupania hispida Radlk.","Sapindaceae",8
"Miconia lugonis Wurdack","Melastomataceae",8
"Ladenbergia Klotzsch","Rubiaceae",8
"Chrysophyllum manaosense (Aubrév.) T.D.Penn.","Sapotaceae",8
"Blakea rosea (Ruiz & Pav.) D.Don","Melastomataceae",8
"Alibertia bertierifolia K.Schum.","Rubiaceae",8
"Miconia longicoma (Cogn.) Ocampo & Almeda","Melastomataceae",8
"Banara Aubl.","Salicaceae",8
"Fissidens Hedwig, 1801","Fissidentaceae",8
"Codonanthopsis dissimulata (H.E.Moore) Wiehler","Gesneriaceae",8
"Leandra secundiflora (DC.) Cogn.","Melastomataceae",8
"Asplenium pearcei Baker","Aspleniaceae",8
"Alibertia latifolia (Benth.) K.Schum.","Rubiaceae",8
"Abuta obovata Diels","Menispermaceae",8
"Elaeoluma schomburgkiana (Miq.) Baill.","Sapotaceae",8
"Trigynaea Schltdl.","Annonaceae",8
"Xylopia excellens R.E.Fr.","Annonaceae",8
"Elaphoglossum auricomum (Kunze) T.Moore","Dryopteridaceae",8
"Palicourea egensis (Müll.Arg.) Borhidi","Rubiaceae",8
"Pouteria bangii (Rusby) T.D.Penn.","Sapotaceae",8
"Guatteria atabapensis Aristeg. ex D.M.Johnson & N.A.Murray","Annonaceae",8
"Guarea carinata Ducke","Meliaceae",8
"Hirtella racemosa var. racemosa","Chrysobalanaceae",8
"Psychotria buchtienii (H.J.P.Winkl.) Standl.","Rubiaceae",8
"Trichospermum Blume","Malvaceae",8
"Trichomanes spruceanum Hook.","Hymenophyllaceae",8
"Caryocar gracile Wittm.","Caryocaraceae",8
"Distictella magnoliifolia (Kunth) Sandwith","Bignoniaceae",8
"Heteropsis steyermarkii G.S.Bunting","Araceae",8
"Palicourea gracilenta (Müll.Arg.) Delprete & J.H.Kirkbr.","Rubiaceae",8
"Heteropsis robusta (G.S.Bunting) M.L.Soares","Araceae",8
"Piper umbellatum L.","Piperaceae",8
"Strychnos erichsonii R.H.Schomb. ex Progel","Loganiaceae",8
"Leretia cordata Vell.","Icacinaceae",8
"Strychnos mitscherlichii M.R.Schomb.","Loganiaceae",8
"Dioclea Kunth","Fabaceae",8
"Miconia candelabrum (J.F.Macbr.) R.Goldenb. & Michelang.","Melastomataceae",8
"Philodendron guttiferum Kunth","Araceae",8
"Palicourea humboldtiana (Cham.) Delprete & J.H.Kirkbr.","Rubiaceae",8
"Trichomanes accedens C.Presl","Hymenophyllaceae",8
"Crudia Schreb.","Fabaceae",8
"Trichilia stipitata T.D.Penn.","Meliaceae",8
"Heteropsis macrophylla A.C.Sm.","Araceae",8
"Gongylolepis martiana (Baker) Steyerm. & Cuatrec.","Asteraceae",8
"Elizabetha R.H.Schomb. ex Benth.","Fabaceae",8
"Croton trinitatis Millsp.","Euphorbiaceae",8
"Palicourea justiciifolia (Rudge) Delprete & J.H.Kirkbr.","Rubiaceae",8
"Ditassa R.Br.","Apocynaceae",8
"Ruizterania cassiquiarensis (Spruce ex Warm.) Marc.-Berti","Vochysiaceae",8
"Rudgea viburnoides (Cham.) Benth.","Rubiaceae",8
"Licania caudata Prance","Chrysobalanaceae",8
"Haploclathra Benth.","Calophyllaceae",8
"Stryphnodendron polystachyum (Miq.) Kleinhoonte","Fabaceae",8
"Licania glabriflora Prance","Chrysobalanaceae",8
"Licania granvillei Prance","Chrysobalanaceae",8
"Palicourea microbotrys (Ruiz ex Standl.) Delprete & J.H.Kirkbr.","Rubiaceae",8
"Brosimum parinarioides Ducke","Moraceae",8
"Pulchranthus adenostachyus (Lindau) V.M.Baum, Reveal & Nowicke","Acanthaceae",8
"Petiveria alliacea L.","Phytolaccaceae",8
"Rudgea retifolia Standl.","Rubiaceae",8
"Xylopia amazonica R.E.Fr.","Annonaceae",8
"Mendoncia glomerata Leonard","Acanthaceae",8
"Bactris maraja var. juruensis (Trail) A.J.Hend.","Arecaceae",8
"Chomelia tenuiflora Benth.","Rubiaceae",8
"Rudgea lanceifolia Salisb.","Rubiaceae",8
"Persea americana Mill.","Lauraceae",8
"Mikania micrantha Kunth","Asteraceae",8
"Swartzia benthamiana Miq.","Fabaceae",8
"Cecropia engleriana Snethl.","Urticaceae",8
"Rudgea krukovii Standl.","Rubiaceae",8
"Centropogon C.Presl","Campanulaceae",8
"Ficus caballina Standl.","Moraceae",8
"Drymonia serrulata (Jacq.) Mart.","Gesneriaceae",7
"Sloanea steyermarkii C.E.Sm.","Elaeocarpaceae",7
"Smilax domingensis Willd.","Smilacaceae",7
"Brownea ariza Benth.","Fabaceae",7
"Odontadenia geminata (Hoffm. ex Roem. & Schult.) Müll.Arg.","Apocynaceae",7
"Virola parvifolia Ducke","Myristicaceae",7
"Cissampelos andromorpha DC.","Menispermaceae",7
"Mikania psilostachya DC.","Asteraceae",7
"Brownea coccinea Jacq.","Fabaceae",7
"Bauhinia glabra Jacq.","Fabaceae",7
"Solanum obliquum Ruiz & Pav.","Solanaceae",7
"Cyperus laxus Lam.","Cyperaceae",7
"Microgramma tobagensis (C.Chr.) C.D.Adams & Baksh.-Com.","Polypodiaceae",7
"Solanum thelopodium Sendtn.","Solanaceae",7
"Banisteriopsis martiniana var. subenervia Cuatrec.","Malpighiaceae",7
"Inga sertulifera subsp. sertulifera","Fabaceae",7
"Micrandropsis scleroxylon (W.A.Rodrigues) W.A.Rodrigues","Euphorbiaceae",7
"Oryctanthus spicatus (Jacq.) Eichler","Loranthaceae",7
"Miconia traillii Cogn.","Melastomataceae",7
"Ossaea araneifera Markgr.","Melastomataceae",7
"Miconia tomentosa (Rich.) D.Don","Melastomataceae",7
"Miconia tococoronata Michelang.","Melastomataceae",7
"Doliocarpus multiflorus Standl.","Dilleniaceae",7
"Guadua superba Huber","Poaceae",7
"Cyclanthus Poit. ex A.Rich.","Cyclanthaceae",7
"Miconia setifera (Pilg.) Michelang.","Melastomataceae",7
"Spathiphyllum minus G.S.Bunting","Araceae",7
"Ocotea puberula (Rich.) Nees","Lauraceae",7
"Drypetes gentryi Monach.","Putranjivaceae",7
"Hymenaea intermedia Ducke","Fabaceae",7
"Spondias mombin Jacq.","Anacardiaceae",7
"Cybianthus reticulatus (Benth. ex Miq.) G.Agostini","Primulaceae",7
"Scleria flagellum-nigrorum P.J.Bergius","Cyperaceae",7
"Sciaphila purpurea Benth.","Triuridaceae",7
"Steinchisma laxum (Sw.) Zuloaga","Poaceae",7
"Stenospermation Schott","Araceae",7
"Sterculia colombiana Sprague","Malvaceae",7
"Cybianthus gigantophyllus Pipoly","Primulaceae",7
"Schlegelia cauliflora A.H.Gentry","Schlegeliaceae",7
"Salpichlaena volubilis (Kaulf.) J.Sm.","Blechnaceae",7
"Attalea maripa (Aubl.) Mart.","Arecaceae",7
"Dulacia Vell.","Olacaceae",7
"Pachira nitida Kunth","Malvaceae",7
"Miconia neoepiphytica Michelang.","Melastomataceae",7
"Astrocaryum vulgare Mart.","Arecaceae",7
"Curupira tefeensis G.A.Black","Ximeniaceae",7
"Duroia triflora Ducke","Rubiaceae",7
"Goeppertia standleyi (J.F.Macbr.) Borchs. & S.Suárez","Marantaceae",7
"Pleurothyrium bifidum Nees","Lauraceae",7
"Virola marleneae W.A.Rodrigues","Myristicaceae",7
"Inga acreana Harms","Fabaceae",7
"Stigmaphyllon sinuatum (DC.) A.Juss.","Malpighiaceae",7
"Stizophyllum riparium (Kunth) Sandwith","Bignoniaceae",7
"Struthanthus Mart.","Loranthaceae",7
"Clidemia bernardii Wurdack","Melastomataceae",7
"Palicourea fastigiata Kunth","Rubiaceae",7
"Elaphoglossum Schott ex J.Sm.","Dryopteridaceae",7
"Ryania angustifolia (Turcz.) Monach.","Salicaceae",7
"Aspidosperma spruceanum Benth. ex Müll.Arg.","Apocynaceae",7
"Ilex divaricata Mart. ex Reissek","Aquifoliaceae",7
"Ruptiliocarpon caracolito Hammel & N.Zamora","Lepidobotryaceae",7
"Clidemia allardii Wurdack","Melastomataceae",7
"Artocarpus altilis (Parkinson) Fosberg","Moraceae",7
"Mendoncia pedunculata Leonard","Acanthaceae",7
"Memora cladotricha Sandwith","Bignoniaceae",7
"Palicourea spicata (Kuntze) C.M.Taylor","Rubiaceae",7
"Plukenetia volubilis L.","Euphorbiaceae",7
"Callicosta Müll.Hal.","Daltoniaceae",7
"Aristolochia ruiziana (Klotzsch) Duch.","Aristolochiaceae",7
"Swartzia oscarpintoana Pipoly & Rudas","Fabaceae",7
"Endlicheria pyriformis (Nees) Mez","Lauraceae",7
"Xanthosoma trichophyllum K.Krause","Araceae",7
"Endlicheria verticillata Mez","Lauraceae",7
"Inga longifoliola R.S.Cowan.","Fabaceae",7
"Rourea cuspidata var. densiflora (Steyerm.) Forero","Connaraceae",7
"Matayba purgans (Poepp.) Radlk.","Sapindaceae",7
"Crescentia cujete L.","Bignoniaceae",7
"Rourea amazonica (Baker) Radlk.","Connaraceae",7
"Martinella obovata (Kunth) Bureau & Schumann","Bignoniaceae",7
"Guarea convergens T.D.Penn.","Meliaceae",7
"Aphelandra R.Br.","Acanthaceae",7
"Crateva tapia L.","Capparaceae",7
"Aciotis D.Don","Melastomataceae",7
"Adenaria floribunda Kunth","Lythraceae",7
"Epiphyllum phyllanthus (L.) Haw.","Cactaceae",7
"Gossypium barbadense L.","Malvaceae",7
"Tachia Aubl.","Gentianaceae",7
"Coussarea flava Poepp.","Rubiaceae",7
"Parinari Aubl.","Chrysobalanaceae",7
"Coussapoa parvifolia Standl.","Urticaceae",7
"Anthurium pendulifolium N.E.Br.","Araceae",7
"Mandevilla pavonii (A.DC.) Woodson","Apocynaceae",7
"Coussapoa asperifolia Trécul","Urticaceae",7
"Ertela trifolia (L.) Kuntze","Rutaceae",7
"Rhynchospora globosa (Kunth) Roem. & Schult.","Cyperaceae",7
"Campsiandra Benth.","Fabaceae",7
"Rhodostemonodaphne kunthiana (Nees) Rohwer","Lauraceae",7
"Parkia pendula (Willd.) Benth. ex Walp.","Fabaceae",7
"Parkia reticulata Ducke","Fabaceae",7
"Tanaecium jaroba Sw.","Bignoniaceae",7
"Renealmia nicolaioides Loes.","Zingiberaceae",7
"Anthodiscus pilosus Ducke","Caryocaraceae",7
"Tapura guianensis Aubl.","Dichapetalaceae",7
"Anthodiscus amazonicus Gleason & A.C.Sm.","Caryocaraceae",7
"Passifloraceae","Passifloraceae",7
"Paullinia acutangula (Ruiz & Pav.) Pers.","Sapindaceae",7
"Hylenaea comosa (Sw.) Miers","Celastraceae",7
"Telitoxicum krukovii Moldenke","Menispermaceae",7
"Paullinia alsmithii J.F.Macbr.","Sapindaceae",7
"Paullinia carpopoda Cambess.","Sapindaceae",7
"Costus chartaceus Maas","Costaceae",7
"Machaerium macrophyllum Benth.","Fabaceae",7
"Humiria balsamifera (Aubl.) A.St.-Hil.","Humiriaceae",7
"Machaerium leiophyllum (DC.) Benth.","Fabaceae",7
"Eugenia feijoi O.Berg","Myrtaceae",7
"Inga densiflora Benth.","Fabaceae",7
"Costaceae","Costaceae",7
"Inga cylindrica (Vell.) Mart.","Fabaceae",7
"Thelypteris Schmidel","Thelypteridaceae",7
"Guatteria multivenia Diels","Annonaceae",7
"Aniba panurensis (Meisn.) Mez","Lauraceae",7
"Corynostylis arborea (L.) S.F.Blake","Violaceae",7
"Vismia cayennensis (Jacq.) Pers.","Hypericaceae",7
"Ceratolejeunea (Spruce) J.B.Jack & Steph.","Lejeuneaceae",7
"Lueheopsis Burret","Malvaceae",7
"Pavonia fruticosa (Mill.) Fawc. & Rendle","Malvaceae",7
"Cordia ucayaliensis (I.M.Johnst.) I.M.Johnst.","Cordiaceae",7
"Ludwigia hyssopifolia (G.Don) Exell","Onagraceae",7
"Andropogon bicornis L.","Poaceae",7
"Zamia hymenophyllidia D.W.Stev.","Zamiaceae",7
"Quiina obovata Tul.","Quiinaceae",7
"Tococa coronata Benth.","Melastomataceae",7
"Vismia confertiflora Spruce ex Rchb.fil.","Hypericaceae",7
"Tococa macrophysca Spruce ex Triana","Melastomataceae",7
"Inga cecropietorum Ducke","Fabaceae",7
"Anaxagorea acuminata (Dunal) A.DC.","Annonaceae",7
"Anaxagorea A.St.-Hil.","Annonaceae",7
"Chelonanthus acutangulus (Ruiz & Pav.) Gilg","Gentianaceae",7
"Pouteria plicata T.D.Penn.","Sapotaceae",7
"Amphilophium magnoliifolium (Kunth) L.G.Lohmann","Bignoniaceae",7
"Peperomia rotundifolia (L.) Kunth","Piperaceae",7
"Trattinnickia glaziovii Swart","Burseraceae",7
"Limnocharis flava (L.) Buchenau","Alismataceae",7
"Quararibea loretoyacuensis Cuatrec.","Malvaceae",7
"Pera tomentosa (Benth.) Müll.Arg.","Peraceae",7
"Licaria aurea (Huber) Kosterm.","Lauraceae",7
"Carapichea klugii (Standl.) C.M.Taylor","Rubiaceae",7
"Perebea guianensis subsp. guianensis","Moraceae",7
"Amaranthaceae","Amaranthaceae",7
"Ficus americana Aubl.","Moraceae",7
"Ficus americana subsp. guianensis (Desv.) C.C.Berg","Moraceae",7
"Pterozonium reniforme (Mart.) Fée","Pteridaceae",7
"Amaioua glomerulata (Lam. ex Poir.) Delprete & C.H.Perss.","Rubiaceae",7
"Ficus krukovii Standl.","Moraceae",7
"Trichilia solitudinis Harms","Meliaceae",7
"Chamissoa altissima (Jacq.) Kunth","Amaranthaceae",7
"Philodendron barrosoanum G.S.Bunting","Araceae",7
"Trichomanes arbuscula Desv.","Hymenophyllaceae",7
"Hymenophyllum hirsutum (L.) Sw.","Hymenophyllaceae",7
"Leptobalanus octandrus (Hoffmanns. ex Roem. & Schult.) Sothers & Prance","Chrysobalanaceae",7
"Leptobalanus latus (J.F.Macbr.) Sothers & Prance","Chrysobalanaceae",7
"Warszewiczia Klotzsch","Rubiaceae",7
"Triolena pluvialis (Wurdack) Wurdack","Melastomataceae",7
"Philodendron tripartitum (Jacq.) Schott","Araceae",7
"Leandra glandulifera (Triana) Cogn.","Melastomataceae",7
"Pterocarpus amazonicus Huber","Fabaceae",7
"Laportea aestuans (L.) Chew","Urticaceae",7
"Philodendron wadedavisii Croat","Araceae",7
"Laetia procera (Poepp. & Endl.) Eichler","Salicaceae",7
"Aechmea rubiginosa Mez","Bromeliaceae",7
"Lacunaria jenmanii (Oliv.) Ducke","Quiinaceae",7
"Hypolytrum Pers.","Cyperaceae",7
"Triumfetta mollissima Kunth","Malvaceae",7
"Aldina Endl.","Fabaceae",7
"Lacistema Sw.","Lacistemataceae",7
"Psychotria subundulata Benth.","Rubiaceae",7
"Fridericia prancei (A.H.Gentry) L.G.Lohmann","Bignoniaceae",7
"Protium klugii J.F.Macbr.","Burseraceae",7
"Phyllanthus L.","Phyllanthaceae",7
"Picramnia coccinea W.W.Thomas","Picramniaceae",7
"Clusiella axillaris (Engl.) Cuatrec.","Calophyllaceae",7
"Alchornea castaneifolia (Humb. & Bonpl. ex Willd.) A.Juss.","Euphorbiaceae",7
"Psychotria sacciformis C.M.Taylor","Rubiaceae",7
"Jatropha gossypiifolia L.","Euphorbiaceae",7
"Psychotria romolerouxiana C.M.Taylor","Rubiaceae",7
"Abarema auriculata (Benth.) Barneby & J.W.Grimes","Fabaceae",7
"Graffenrieda weddellii Naudin","Melastomataceae",7
"Clusia octandra (Poepp. & Endl.) Pipoly","Clusiaceae",7
"Cassipourea peruviana Alston","Rhizophoraceae",7
"Genipa L.","Rubiaceae",7
"Piper arboreum Aubl.","Piperaceae",7
"Utricularia L.","Lentibulariaceae",7
"Iseia luxurians (Moric.) O'Donell","Convolvulaceae",7
