"locality","decimallat","decimallon","rec_gbif","species"
"Isla Mocagua",-3.836889,-70.26439,336,69
"isla de la fantasia",-4.202702,-69.95888,327,121
"Km 17- Sendero Bora- Amazonas, CO",-4.074792,-69.986465,320,64
"Reserva Wochine",-3.778989,-70.35819,310,140
"Isla Mocagua_Lago Huito",-3.844986,-70.2529,307,86
"Lago Sapo-Rio Loretoyacu",-3.779762,-70.3763,306,106
"Carretera Leticia Tarapacá, km 0 al 5",-4.18922,-69.949326,301,87
"Puerto Fluvial, Leticia",-4.22317,-69.94498,291,121
"Bosque Varzea- Lago Correo Amazonas, CO",-3.774504,-70.389725,287,59
"Ruta Selva Tanimboca",-4.123818,-69.94499,284,57
"Islas Jovenes",-3.815325,-70.37725,282,84
"Leticia",-4.219613,-69.94427,281,69
"Rio Loretoyacu",-3.77847,-70.37334,277,70
"Reserva Flor de Loto",-4.184499,-69.97337,276,116
"Fundación Maikuchiga",-3.822892,-70.21418,271,116
"Casa Gregorio",-3.775628,-70.30518,271,138
"(-3.782, -70.364) Pto Nariño, Amazonas",-3.782326,-70.364235,268,75
"Confluencia Río Loretoyacu",-3.77899,-70.374985,267,85
"Maloca Willian",-4.123795,-69.92627,263,98
"Lago Tarapoto y caños aledaños, Puerto Nariño",-3.800839,-70.4206,256,128
"Sendero muinane km 17",-4.089035,-69.97824,253,117
"Universidad Nacional de Colombia Leticia",-4.189846,-69.93908,250,112
"Arara lodge",-4.049581,-70.07227,250,170
"Puerto Nariño",-3.819038,-70.270874,241,116
"Reserva Flor de Loto",-4.185861,-69.97441,236,42
"Isla De La Fantasia. (-4,20878500, -69,94948167)",-4.216106,-69.94169,232,59
"RN Tanimboca (Puerto Nariño)",-3.803894,-70.31582,231,122
"Calanoa lodge",-3.838885,-70.22479,231,142
"Yoi Ecolodge",-3.750475,-70.306015,226,135
"San Martin--camino a Pto. Nariño (7.4km)",-3.776868,-70.30453,222,70
"COLOMBIA: Amazonas; Leticia outskirts",-4.201655,-69.94653,222,75
"Pamaté",-3.1055,-70.06387,218,142
"Vereda San Martín de Amacayacu",-3.787237,-70.29846,212,148
"Isla Patrullero - Amazonas, CO",-3.811004,-70.371185,210,42
"PNN Amacayacu--Los Camungos",-3.285762,-70.14544,210,83
"Reserva Biológica El Zafire",-4.005278,-69.898889,203,75
"Unnamed Road, Amazonas, CO (-4,083, -69,993)Bora Muinane Km17",-4.082745,-69.99286,202,37
"RN Tucuxira",-4.004722,-70.123886,201,97
"Parana_Isla Mocagua",-3.869226,-70.222275,196,71
"Refugio Eware, Puerto Nariño",-3.77202,-70.379364,196,98
"Reserva Pichuna",-4.089495,-70.013275,188,63
"San Juan de Socó",-3.754805,-70.46227,186,109
"san pedro",-4.142277,-69.96553,184,92
"Parque Nacional Natural Amacayacu",-3.840276,-70.22101,184,112
"823 Calle 10, Leticia, Amazonas, CO (-4.213, -69.941)",-4.21263,-69.94074,181,38
"Reserva Acapu",-4.11774,-69.951454,178,85
"Zonas Verdes Oriente Aeropuerto",-4.200029,-69.94097,175,44
"Puerto Colombia - C. La milagrosa",-4.192824,-69.9634,175,113
"Calanoa to Tarapoto lake and back (-3.7750,-70.3844)",-3.77501,-70.384415,172,86
"Antiguo Puerto Militar, Leticia, Amazonas, CO (-4,207, -69,945)",-4.207187,-69.945335,170,41
"San Martin--camino terra firme (entrar -3.7444,-70.3114)",-3.744255,-70.311356,165,45
"Solar de doña Vilma, Leticia, Amazonas, CO",-4.216877,-69.93977,164,41
"Leticia",-4.216313,-69.94171,162,86
"Nomad Lodge Reserve",-3.74282,-70.43072,160,55
"Km 17 Comunidad Bora",-4.105057,-69.97204,158,69
"Laguna Tarapoto & Surrounding Amazonian habitats",-3.796771,-70.42271,158,85
"Amazonas, CO (-4.144702, -69.95642)",-4.144885,-69.9556,157,25
"Victoria Regia, Sendero hacia Comunidad La Playa",-4.207671,-69.94799,156,42
"Leticia--km 7 forest patch",-4.121866,-69.947,155,53
"Isla Mocagua, lago el pan",-3.84571,-70.24682,155,102
"Km 8 - Huitotos",-4.1474,-69.93082,154,82
"Quebrada La Beatriz, Ronda",-4.134169,-69.99074,153,39
"Seleccionado automáticamente",-4.211256,-69.93456,150,30
"Ciudad de Piedra",-0.630852,-72.42253,150,38
"Puerto Nariño - (-3,781, -70,363)",-3.780531,-70.362564,150,50
"Humarizal, parche de bosque tf",-4.203887,-69.93239,147,63
"Amazonas, CO (-3.845, -70.254)",-3.844975,-70.25412,145,29
"Leticia centro",-4.217468,-69.9389,144,45
"Amazonas Department, CO (-3.893, -70.192)",-3.893119,-70.1922,144,58
"Boyahuasú",-3.802595,-70.61634,144,107
"Parque Nacional Natural Amacayacu",-3.8214,-70.2609,143,97
"Cominidad de Valencia",-3.801417,-70.32219,141,134
"Sector La Milagrosa",-4.179761,-69.974846,140,35
"San Martín, zona amortiguadora PNN Amacayacu",-3.772994,-70.3009,140,70
"Varze y Tierra firme Zábalo",-1.258267,-71.06211,138,45
"-4.198x-69.953 - may. 14, 2016 7:11 PM",-4.198138,-69.953415,136,68
"Lagos Yahuarcaca",-4.193957,-69.95443,136,68
"Los kilometros",-4.109436,-69.96526,135,45
"Leticia near Amazon River",-4.210949,-69.944244,135,47
"RN Hábitat Sur",-4.108365,-69.96995,133,87
"km 25 - Finca Joel",-4.048879,-70.034904,130,65
"(-3.8368,-70.2548) cabeza de Isla Mocagua",-3.836816,-70.25478,130,65
"Puerto Nariño, Amazonas, Colombia",-3.78107,-70.36562,129,38
"Playa río Amazonas",-4.188196,-69.951675,129,62
"vía Tarapacá, Amazonas",-4.069755,-69.938965,129,74
"los Kilometros",-3.383557,-69.83127,128,33
"Leticia, Amazonas, CO (-4.219, -69.935)",-4.219301,-69.93459,128,44
"Sendero Selva Mundo Amazonico",-4.143294,-69.92933,127,42
"Comunidad 20 de Julio",-3.783775,-70.35906,127,64
"Amazonas, CO (-4.133, -69.985)km 13 Vía Comunidade Indígena De ""Ronda"" Amazonas.",-4.1327,-69.98459,126,42
"Isla Fantasia y sector La Playa",-4.209263,-69.95221,126,62
"Puerto Nariño, Amazonas",-3.766679,-70.373955,126,98
"rio tacana casiyanaira",-4.093175,-69.9391,124,87
"Amazonas, CO (-3,784, -70,361)",-3.784311,-70.36145,123,41
"Isla San José",-4.124855,-70.02382,123,84
"Comunidad Bora, (-4.083, -69.967)",-4.083139,-69.96743,120,60
"Isla de arena isla cacao",-3.79949,-70.34731,120,73
"Leticia: Caño Pichuna (Río Amazonas)",-4.132392,-70.00877,119,91
"Yawarcaca",-4.164288,-69.96176,117,39
"Amazonas, CO (-3,778, -70,36)",-3.778166,-70.360466,117,39
"lagos yahuarcaca",-4.197701,-69.955475,116,30
"Camino a Ronda Km 14",-4.098691,-69.98225,115,39
"Comunidad Bora Muinane km 17 - casas",-4.058475,-69.98223,114,53
"Yeegune",-3.820644,-70.21145,114,57
"Calanoa 100 masl (-3.8264,-70.2479)",-3.826418,-70.247856,113,57
"Isla Bocatoma",-4.183143,-69.957214,112,59
"Cotuhé River",-3.047028,-69.99966,111,69
"(-4.2111,-69.9475) Isla Fatasia",-4.211075,-69.94746,110,55
"Avenida Vasquez Cobo, Amazonas, CO (-4.2, -69.941)",-4.199961,-69.94118,108,27
"Malecon",-4.212632,-69.943,108,36
"La Playa",-4.175947,-69.97403,108,54
"Caño Pichuna",-4.132678,-70.00369,108,54
"Km 11 Carretera Leticia",-4.119357,-69.9515,108,54
"Km 11 Tacana Maloca Diablo",-4.109136,-69.94467,108,79
"Amazonas Department, CO (-3.773, -70.381)",-3.772705,-70.381424,107,52
"Comunidad Bora, km 17, Leticia",-4.078952,-69.98761,107,54
"Camino La Playa",-4.207365,-69.94655,107,74
"Omshanty (kilometro 11)",-4.140095,-69.934715,106,53
"Leticia",-4.212515,-69.94098,106,68
"Amazonas, CO (-3.726, -70.316)",-3.726263,-70.316376,105,21
"Caserío Mocagua",-3.828051,-70.241066,105,47
"Cocotal",-1.300781,-69.63954,105,73
"Puerto Nariño - Reserva Wochine",-3.780409,-70.35452,104,52
"Leticia (general)",-4.204162,-69.94397,104,80
"Isla Santa Rosa",-4.201204,-69.988335,102,64
"Reserva Natural Amazon Açaí",-3.87021,-70.20447,101,37
"Acapù, km 14, Leticia",-4.106689,-69.981285,101,51
"Maloka Muinane Amazonas, CO",-4.065768,-69.97889,100,20
"10-12 Calle 7, Leticia, Amazonas, CO (-4.219, -69.945)",-4.218749,-69.94542,99,33
"Yahuarcaca",-4.188196,-69.951675,99,51
"Yeegune",-3.821303,-70.206604,99,57
"Sendero Camilo Torres-San Antonio",-4.146633,-69.965195,98,49
"Santa Sofía, Amazonas, CO (-4,011, -70,137)",-4.011379,-70.13655,98,98
"san juan del soco",-3.736177,-70.493065,97,87
"Quebrada Huanganay - Reserva Natural Huanganay",-3.919467,-70.150444,96,48
"Lagos de Yahuarcaca",-4.20741,-69.94755,96,68
"Comunidad Multiétnica Tacana, Leticia, Amazonas",-4.123283,-69.91986,95,95
"Isla Fantasía occidental",-4.202788,-69.96082,94,47
"Leticia: Km 14 Carretera a Tarapacá (Amazonas)",-4.081048,-69.99607,94,79
"Leticia",-4.213871,-69.938416,93,60
"Parque Orellana, Leticia",-4.216375,-69.94308,92,28
"Reserva Wochine",-3.769472,-70.381195,92,46
"4/05/2020 18:40--4,104, -69,974",-4.104346,-69.97422,92,74
"Loreto Yacu",-3.746073,-70.45679,92,77
"30/12/2020 2:15 p. m.--3,742, -70,453 Comunidad Villa Andrea",-3.742183,-70.45296,92,85
"Casa Gregorio - San Martin de Amacayacu -3,776x-70,303",-3.775735,-70.302826,92,92
"Área de Conservación resguardo indigena Kamaritagua, Caño Aguas Blancas, margen sur del caño Aguas Blancas",-1.38339,-69.64175,91,20
"Puerto Nariño, Amazonas, Colombia",-3.780519,-70.36498,91,91
"Trocha Km_17 Comunidad Muinane (entrada)",-4.084254,-69.99397,90,14
"Trocha Km_17 Comunidad Muinane (selva recuperación)",-4.082422,-69.99199,90,17
"Reserva natural Tanimboca",-4.118104,-69.95228,90,30
"Unnamed Road, Caserio San José, Amazonas, CO (-4.16, -69.936)",-4.159514,-69.93615,90,30
"Reserva Calanoa",-3.838618,-70.22865,90,45
"Puente lago, Isla",-4.209575,-69.94938,90,61
"Trocha Km 10 a Tacana",-4.116352,-69.94058,90,70
"Isla de la fantasia",-4.211306,-69.95239,89,42
"Puerto Nariño Pueblo",-3.780183,-70.36247,89,64
"San Antonio, Los Lagos",-4.165038,-69.95323,89,89
"Hotel Amazon",-4.13529,-70.01703,89,89
"Q. Bacaba",-3.812561,-70.25269,88,37
"Caño cerca a la Laguna Tarapoto",-3.791467,-70.48083,88,88
"Canalla Lodge-amazon River, CO (-3.837, -70.254)",-3.83654,-70.25364,86,18
"Barrio Umarizal, Leticia",-4.204617,-69.93619,86,43
"Comunidad Bora Muinane, Km 17.Trocha entrada",-4.077169,-69.98286,85,29
"Ecovía Puerto Nariño - San Martín de Amacayacu",-3.779908,-70.36315,85,79
"Reserva Abya Yala",-4.192108,-69.94428,84,28
"Furo_Paraná_Isla Mocagua",-3.863352,-70.23956,84,28
"Maloka",-4.087589,-69.945946,84,33
"isla de la fantasia",-4.212116,-69.94772,84,42
"Km 11",-4.116711,-69.947105,84,56
"Santa Sofía",-4.01067,-70.13602,84,84
"Guessing Rio Parana",-3.790177,-70.34098,83,72
"Río Calderón Casa Marcos",-3.9041,-69.9831,83,83
"Kilometros 7 a 14",-4.114787,-69.95549,82,41
"Tanimboca - Arenosa Yahuarcaca",-4.128043,-69.95348,82,48
"Reserva Acapú, Leticia Amazonas.",-4.094433,-69.98207,82,60
"Vía Aeropuerto, Amazonas, CO (-4,202, -69,944)",-4.202492,-69.94368,81,26
"Comunidad Zaragoza",-3.918234,-70.175354,80,40
"Amazonas, CO (04°O3'302 ,069°58'964)",-4.055958,-69.99164,80,80
"Trocha Calderón",-3.931219,-69.95085,80,80
"Puerto Colombia, Amazonas",-4.192978,-69.96309,79,55
"Isla Joven, Amazonas, CO",-4.198479,-69.96319,79,61
"CO-Amazonas-Taraira - -1.3212x-69.5809 - Jul 15, 2015, 00:18",-1.321236,-69.5809,79,79
"Sendero Lindero, Reserva Habitat sur",-4.089818,-69.98267,78,13
"PNN Amacayacu, isla Mocagua al NW de Leticia, Selva de tierra firme",-3.292778,-70.145556,78,18
"Rio Amazon--boat from Leticia to 'Monkey Island'",-4.139407,-70.018684,78,26
"isla de la fantasia",-4.209582,-69.949066,78,39
"Km 11- Km 21",-4.121697,-69.94983,78,45
"Las Malokas, Leticia, Amazonas",-4.186866,-69.94034,78,76
"Villa Andrea",-3.753108,-70.436584,78,78
"Puerto Malecon - Leticia",-4.213477,-69.94518,77,34
"Monilla Amena-Río Tacana",-4.130563,-69.9431,77,77
"Águila del Viento-Río tacana",-4.130563,-69.9431,77,77
"Borde Isla Fantasía",-4.208437,-69.95415,76,19
"Las Veraneras, Leticia",-4.193561,-69.94526,76,26
"Chagras San Martín de Amacayacu",-3.774504,-70.30325,76,38
"Yahuaracaca Lake Complex",-4.196319,-69.95153,76,38
"Turpana Aru U",-3.946055,-70.15435,76,39
"Parque Nacional Natural Amacayacu",-3.008667,-70.005,76,62
"San Martin quebrada Bacaba",-3.760435,-70.2669,76,76
"Alameda Fronteriza Barrio Colombia",-4.219617,-69.93417,75,47
"Inicio trocha a Zafire",-4.060851,-69.97049,75,62
"Isla De La Fantacia, (-4.214, -69.948)",-4.214279,-69.948204,74,35
"Parcela Amacayacu",-3.811063,-70.263725,74,47
"Unnamed Road, Tarapaca, Amazonas, CO (-2.893, -69.743)",-2.893256,-69.74251,74,52
"Leticia - Rio Amazonas",-4.218709,-69.94965,73,28
"Leticia",-4.217778,-69.94278,73,40
"(-3.7772,-70.3827) Laguna El Correo",-3.777247,-70.382744,73,73
"Isla Fantasía_Aningal",-4.208785,-69.94948,72,18
"915017, Solano CO-Caquetá (-0.6307,-72.4171)",-0.63073,-72.41709,72,24
"Casco urbano, Leticia",-4.213948,-69.934135,72,36
"Quebrada Yahuarcaca",-4.160039,-69.966446,72,63
"Tarapaca, Amazonas, CO (-2.892, -69.743)",-2.892249,-69.74325,71,48
"(-3.7850,-70.3658) Isla al frente de Puerto Nariño",-3.785007,-70.36581,71,70
"Lagos Yaguacaca",-4.19143,-69.95663,71,71
"(-3.7841,-70.3669)",-3.784089,-70.36693,70,35
"Amazonas, CO (-3,792, -70,399)",-3.791952,-70.39891,70,70
"Amazonas, CO (-4.133, -69.985)",-4.132991,-69.98486,69,23
"-4,214x-69,945 - 13/05/2017 11:11 Malecón vía",-4.214302,-69.945,69,23
"Roberas de iSLA",-4.150605,-69.98205,69,23
"El Caimo, sendero Chagra Mario",-4.071737,-69.93405,69,25
"SINCHI a Waira",-4.210364,-69.94277,69,25
"Laguna Zancudo",-3.804883,-70.40896,69,57
"Takana-CO-Amazonas-Leticia-Unnamed Road - -4,097x-69,937",-4.096973,-69.93684,69,69
"km 17- Comunidad Bora-Muinane",-4.076775,-69.98621,68,24
"(-3.7809,-70.3950)",-3.780894,-70.39496,68,34
"Islotes Puerto Nariño",-3.785219,-70.37565,68,34
"Borde corto W Yahuarcaca",-4.190802,-69.9617,68,62
"Trayecto quebrada Matamata",-3.815141,-70.25397,67,67
"Vivero Municipal, Amazonas, CO (-4,2, -69,943)",-4.199862,-69.943275,66,18
"Carrera 10, Leticia CO-Amazonas (-4.2134,-69.9421)",-4.213363,-69.94208,66,26
"La Pedrera, Amazonas, CO (-1.324, -69.585)",-1.323821,-69.585205,66,66
"Reserva Pichuna",-4.086197,-70.011314,65,65
"Rio Tacana Maloca Cayetano",-4.095837,-69.96026,65,65
"(-3.7925,-70.4453) caño interior del complejo Laguna Tarapoto",-3.792523,-70.445274,65,65
"La playa",-4.199846,-69.95618,64,31
"Reserva Acapú km14 vía Leticia - Tarapaca",-4.103269,-69.974724,64,32
"Amazon tributary upstream from Puerto Narino",-3.802732,-70.41035,64,64
"CO-Amazonas-Narino Port (-3.7772,-70.3612)",-3.777203,-70.36115,64,64
"1460 Carrera 9, Amazonas, CO (-4,207, -69,943)",-4.207489,-69.94265,63,32
"Malecón de Leticia",-4.211646,-69.946205,63,33
"PSP7",-0.630676,-72.36985,63,41
"Leticia (9kms north by road)",-4.128536,-69.94688,63,63
"Multiétnico Takana, Trocha entrada",-4.117777,-69.947395,62,13
"Ruta Km11-Km14 Leticia",-4.115514,-69.96087,62,31
"Amazonas, CO (-1,313, -69,591)",-1.312693,-69.59127,62,31
"Mocagua a Puerto Nariño",-3.814406,-70.289536,62,48
"Km 25",-4.040864,-70.0149,62,62
"PSP6",-0.631403,-72.3715,61,39
"isla Mocagua",-4.199585,-69.96144,61,41
"Ciclo Ruta UNAL, CO (-4,195, -69,941)",-4.195105,-69.941055,61,45
"Victoria Regia y Flor de Loto",-4.184769,-69.97278,61,57
"Leticia: Hotel On Vacation (Río Amazonas).",-4.133848,-70.016716,61,61
"Quebrada Yaguarcaca (Bocas - San Antonio)",-4.168108,-69.96074,61,61
"Amazonas, CO (-4.03, -70.119) Isla Ronda , Amazonas.",-4.030031,-70.11854,60,20
"Sendero Ronda - Acapú",-4.123686,-69.99321,60,20
"Las Veraneras, Leticia (Amazonas)",-4.19337,-69.9453,60,30
"Comunidad Monillamena Km 9",-4.100015,-69.92399,60,35
"Isla Mocagua- Amazonas, CO",-3.896215,-70.23389,59,15
"Hotel Anaconda, Leticia",-4.216227,-69.94317,59,22
"Tupana Aru U",-3.945789,-70.15389,59,42
"Hostal Tauma",-4.215526,-69.9403,58,11
"(-3.8566,-70.2534) Isla Mocagua - Laguna Huito entrance canal",-3.85656,-70.253365,58,29
"Chagras_Mocagua",-3.822878,-70.25036,58,29
"Reserva Forestal del Río Calderón, Estacion Biologica El Zafire, Cerca al salado",-3.985833,-69.901667,58,29
"Puerto Narino",-3.781597,-70.36505,58,46
"Tarapacá general area",-2.889082,-69.74215,58,57
"Lagos de Tarapoto, Puerto Nariño, Amazonas",-3.791633,-70.43404,58,58
"Reserva Maguta, Leticia - Amazonas",-4.069859,-69.99964,58,58
"Aeropuerto Terminal, Amazonas, CO (-4,2, -69,943)",-4.199925,-69.94251,57,15
"Estación biológica El Zafire",-4.006997,-69.89605,57,42
"PNN Cahuinarí",-1.435802,-70.727844,57,57
"Sedero Km 21 - Maloca Pijachi",-4.055029,-69.99478,57,57
"Lago YahuarcacaReserva Natural Calanoa",-3.827028,-70.248085,56,28
"Barrio Punta Brava",-4.216741,-69.93725,56,28
"Sendero Panguana_Tarapacá",-2.886265,-69.74889,56,28
"Águila del viento",-4.130563,-69.9431,56,33
"PSP3",-0.63821,-72.36242,56,39
"La Pedrera",-1.31805,-69.58589,56,56
"Putumayo River island above Esperanza",-2.36741,-72.00026,56,56
"Sendero Antiguo Puerto Militar",-4.207505,-69.94782,55,35
"Leticia",-4.210869,-69.93761,55,52
"CO-Amazonas-Leticia-151179-151501 Carrera 10 - -4,195x-69,942",-4.194731,-69.94248,55,55
"San Martín De Amacayacú",-3.805,-70.305557,55,55
"Sendero_Camungos_PNN Amacayacu",-3.817833,-70.273224,55,55
"Ribera Isla Fantasía",-4.204449,-69.95911,54,18
"CO-Amazonas-Leticia-San Miguel -4,18x-69,937",-4.180304,-69.937004,54,18
"Isla Nueva_frente a Mocagua",-3.824538,-70.25684,54,18
"Pto Franco Amazonas, CO (-2,139, -69,581)",-2.138537,-69.58147,54,21
"(-3,7782,-70,3604)",-3.778237,-70.36042,54,27
"CO-Amazonas-Leticia-151065-151177 Carrera 10 - -4,198x-69,944",-4.197806,-69.94353,54,54
"Calanoa",-3.826689,-70.24819,53,25
"PSP4",-0.636463,-72.36289,53,35
"PSP2",-0.647789,-72.345894,53,41
"Sendero Comunidad Bora - Quebrada El Caimo, Leticia Amazonas.",-4.039951,-69.960075,53,41
"Comunidad Miraña las palmas , rio caqueta, Amazonas",-1.076299,-71.360634,53,53
"Sendero Reserva Selva",-4.12397,-69.94479,52,13
"PSP1",-0.646103,-72.34528,52,33
"Sendero Ecovia Amazonas San Martín De Amacayacu",-3.781275,-70.35727,52,51
"-4.115x-70.03 - jul 19, 2017 08:07 PM leticia",-4.115102,-70.030075,52,52
"Leticia: Isla de la Fantasía (Río Amazonas)",-4.200959,-69.96004,52,52
"Reserva Forestal del Río Calderón, Reserva Forestal del Río Calderón. Estación Biológica El Zafire",-3.985833,-69.901667,51,24
"(-3.8016,-70.2199) Chagra Bartolomé",-3.80161,-70.2199,51,46
"Maloca Pijachi",-4.057401,-69.98013,51,51
"Caño Hacia Lago Tarapoto-Amazonas, CO",-3.797301,-70.40637,50,10
"Malecón Victoria Regia",-4.215714,-69.94496,50,25
"Parque Nacional Natural Amacayacu",-3.001167,-70.006556,50,50
"Carretera Leticia (Kms)",-4.114736,-69.95521,50,50
"Isla de la Fantasía",-4.214772,-69.94876,50,50
"Barrio La Ceiba, Amazonas, CO (-4.203, -69.941)",-4.202633,-69.94135,49,31
"(-3.7910,-70.4726) Campsite",-3.79095,-70.472595,49,46
"Parque Nacional Natural Amacayacu",-3.009167,-70.001194,49,49
"Reserva Natura Park",-3.86495,-70.20597,49,49
"P.N. Amacayacu",-3.800862,-70.30703,49,49
"Isla Corea",-4.035847,-70.15135,49,49
"Trocha Km14 - Comunidad Ronda",-4.117814,-69.97629,48,16
"Rio Loretoyacu (Villa Andrea)",-3.747908,-70.43334,48,16
"Leticia--general location",-4.215029,-69.940315,48,22
"Leticia-Airport",-4.193411,-69.94648,48,24
"Parador Ticuna",-4.218137,-69.94305,48,33
"(-4,1329,-69,9849)",-4.132912,-69.98489,48,40
"Malecón Turístico Leticia",-4.212918,-69.94579,48,47
"Lago Tarapoto - Santa Clara, Amazonas",-3.793002,-70.42235,48,48
"Colegio Camilo Torres, Los Lagos",-4.167604,-69.95986,48,48
"Maloca Mogoro Cayetano",-4.080327,-69.98154,48,48
"Amazon River, Leticia",-4.168268,-69.99558,47,25
"Village of Mocagua",-3.822429,-70.25416,47,30
"Savana de Puerto Nariño",-3.79536,-70.36109,47,37
"(-3.7771,-70.3770)",-3.777135,-70.37701,47,47
"La Pedrera pista aeropuerto",-1.325893,-69.58071,47,47
"Leticia & Tabatinga",-4.21734,-69.93733,47,47
"Carretera San Sebastian - Comunidad Multietnica Km 11",-4.179553,-69.95097,47,47
"km 11 - km 17",-4.093213,-69.98338,46,22
"Comunidad Bora Muinane km 17 - Sendero los Limones",-4.056788,-69.98101,46,23
"PSP5",-0.631405,-72.37334,46,32
"Q. Matamatá-Desembocadura",-3.820194,-70.26023,46,35
"Canal Yahuarcaca sector la playa",-4.20365,-69.94979,46,39
"Entre Puerto Nariño y Lago Tarapoto",-3.795058,-70.40108,46,46
"92 Calle 8, Leticia, Amazonas, CO (-4.215, -69.941)",-4.215126,-69.94059,45,15
"Río Cotué--Corregimiento de Tarapacá",-2.888424,-69.736465,45,36
"(-3,7504,-70,3060) Nainekü Lodge",-3.750402,-70.30599,45,45
"Calanoa Reserve -3.827x-70.248 - 13 Jan 2017 10:40 am",-3.827046,-70.247955,45,45
"COLOMBIA: Amazonas; Quebrada Guacarí",-3.815759,-70.25415,45,45
"Leticia y Alrededores",-4.198457,-69.94761,45,45
"Isla Nueva Mocagua - Parque Amacayacu",-3.82299,-70.26583,44,36
"(-3.7885,-70.3604)",-3.788462,-70.36043,44,44
"Amazonas--Puerto Rico",-3.730455,-70.530266,43,23
"Carrera 8ª, Amazonas, CO (-4,207, -69,941)",-4.206971,-69.941475,43,27
"Puero Nariño",-3.790875,-70.35544,43,36
"Isla la Nueva Mocagua, Amazonas, CO (-3.826, -70.254)",-3.826133,-70.25403,43,36
"Isla Mocagua",-3.848669,-70.23122,43,43
"Desde el bote",-0.565406,-72.18501,42,14
"km 7",-4.14507,-69.92582,42,15
"Trocha Pista - Lago Quinina Tarapacá-Amazonas",-2.888716,-69.74416,42,21
"17 oct. 2020 19:31--2.89, -69.738",-2.889623,-69.73847,42,21
"Lago Pan - Isla Mocagua",-3.838028,-70.25536,42,21
"Km Road near the beginning, Leticia",-4.189975,-69.94924,42,21
